pokemon,evolution 1, evolution 2, evolution 3, evolution 4
magnemite,magnemite, magneton, magnezone,None
magneton,magnemite, magneton, magnezone,None
farfetchd,farfetchd, sirfetchd,None,None
doduo,doduo, dodrio,None,None
dodrio,doduo, dodrio,None,None
seel,seel, dewgong,None,None
dewgong,seel, dewgong,None,None
grimer,grimer, muk,None,None
muk,grimer, muk,None,None
shellder,shellder, cloyster,None,None
cloyster,shellder, cloyster,None,None
gastly,gastly, haunter, gengar,None
haunter,gastly, haunter, gengar,None
gengar,gastly, haunter, gengar,None
onix,onix, steelix,None,None
drowzee,drowzee, hypno,None,None
hypno,drowzee, hypno,None,None
krabby,krabby, kingler,None,None
kingler,krabby, kingler,None,None
voltorb,voltorb, electrode,None,None
electrode,voltorb, electrode,None,None
exeggcute,exeggcute, exeggutor,None,None
exeggutor,exeggcute, exeggutor,None,None
cubone,cubone, marowak,None,None
marowak,cubone, marowak,None,None
hitmonlee,tyrogue, hitmonlee,None,None
hitmonchan,None,None,None,None
lickitung,lickitung, lickilicky,None,None
koffing,koffing, weezing,None,None
weezing,koffing, weezing,None,None
rhyhorn,rhyhorn, rhydon, rhyperior,None
rhydon,rhyhorn, rhydon, rhyperior,None
chansey,happiny, chansey, blissey,None
tangela,tangela, tangrowth,None,None
kangaskhan,kangaskhan, None,None,None
horsea,horsea, seadra, kingdra,None
seadra,horsea, seadra, kingdra,None
goldeen,goldeen, seaking,None,None
seaking,goldeen, seaking,None,None
staryu,staryu, starmie,None,None
starmie,staryu, starmie,None,None
mr-mime,mime-jr, mr-mime, mr-rime,None
scyther,scyther, scizor,None,None
jynx,smoochum, jynx,None,None
electabuzz,elekid, electabuzz, electivire,None
magmar,magby, magmar, magmortar,None
pinsir,pinsir, None,None,None
tauros,tauros, None,None,None
magikarp,magikarp, gyarados,None,None
gyarados,magikarp, gyarados,None,None
lapras,lapras, None,None,None
ditto,ditto, None,None,None
eevee,eevee, vaporeon, jolteon, flareon
vaporeon,eevee, vaporeon, jolteon, flareon
jolteon,eevee, vaporeon, jolteon, flareon
flareon,eevee, vaporeon, jolteon, flareon
porygon,porygon, porygon2, porygon-z,None
omanyte,omanyte, omastar,None,None
omastar,omanyte, omastar,None,None
kabuto,kabuto, kabutops,None,None
kabutops,kabuto, kabutops,None,None
aerodactyl,aerodactyl, None,None,None
snorlax,munchlax, snorlax,None,None
articuno,articuno, None,None,None
zapdos,zapdos, None,None,None
moltres,moltres, None,None,None
dratini,dratini, dragonair, dragonite,None
dragonair,dratini, dragonair, dragonite,None
dragonite,dratini, dragonair, dragonite,None
mewtwo,mewtwo,None,None,None
mew,mew,None,None,None
