"name","desc","hp","ap","df","sa","sd","sp","type1","type2","weight","height","moves","sprite"
"metapod","This POKéMON is vulnerable to attack while itsshell is soft, exposing its weak and tender body.","50","20","55","25","25","30","bug","None","99","7","['harden']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/11.png"
"butterfree","In battle, it flaps its wings at high speed torelease highly toxic dust into the air.","60","45","50","90","80","70","bug","flying","320","11","['razor-wind', 'whirlwind', 'take-down', 'double-edge', 'supersonic', 'psybeam', 'hyper-beam', 'mega-drain', 'solar-beam', 'poison-powder', 'stun-spore', 'sleep-powder', 'toxic', 'confusion', 'psychic', 'rage', 'teleport', 'mimic', 'double-team', 'reflect', 'bide', 'swift', 'psywave', 'rest', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/12.png"
"weedle","Often found in forests, eating leaves.It has a sharp venomous stinger on its head.","40","35","30","20","20","50","bug","poison","32","3","['poison-sting', 'string-shot']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/13.png"
"kakuna","Almost incapable of moving, this POKéMON can onlyharden its shell to protect itself from predators.","45","25","50","25","25","35","bug","poison","100","6","['harden']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/14.png"
"beedrill","Flies at high speed and attacks using its largevenomous stingers on its forelegs and tail.","65","90","40","45","80","75","bug","poison","295","10","['swords-dance', 'cut', 'fury-attack', 'take-down', 'double-edge', 'twineedle', 'pin-missile', 'hyper-beam', 'mega-drain', 'toxic', 'agility', 'rage', 'mimic', 'double-team', 'reflect', 'focus-energy', 'bide', 'swift', 'skull-bash', 'rest', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/15.png"
"pidgey","A common sight in forests and woods. It flaps itswings at ground level to kick up blinding sand.","40","45","40","35","35","56","normal","flying","18","3","['razor-wind', 'gust', 'wing-attack', 'whirlwind', 'fly', 'sand-attack', 'take-down', 'double-edge', 'toxic', 'agility', 'quick-attack', 'rage', 'mimic', 'double-team', 'reflect', 'bide', 'mirror-move', 'swift', 'sky-attack', 'rest', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/16.png"
"pidgeotto","Very protective of its sprawling territorial area,this POKéMON will fiercely peck at any intruder.","63","60","55","50","50","71","normal","flying","300","11","['razor-wind', 'gust', 'wing-attack', 'whirlwind', 'fly', 'sand-attack', 'take-down', 'double-edge', 'toxic', 'agility', 'quick-attack', 'rage', 'mimic', 'double-team', 'reflect', 'bide', 'mirror-move', 'swift', 'sky-attack', 'rest', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/17.png"
"pidgeot","When hunting, it skims the surface of water at highspeed to pick off unwary prey such as MAGIKARP.","83","80","75","70","70","101","normal","flying","395","15","['razor-wind', 'gust', 'wing-attack', 'whirlwind', 'fly', 'sand-attack', 'take-down', 'double-edge', 'hyper-beam', 'toxic', 'agility', 'quick-attack', 'rage', 'mimic', 'double-team', 'reflect', 'bide', 'mirror-move', 'swift', 'sky-attack', 'rest', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/18.png"
"rattata","Bites anything when it attacks. Small and veryquick, it is a common sight in many places.","30","56","35","25","35","72","normal","None","35","3","['tackle', 'body-slam', 'take-down', 'double-edge', 'tail-whip', 'water-gun', 'blizzard', 'bubble-beam', 'thunderbolt', 'thunder', 'dig', 'toxic', 'quick-attack', 'rage', 'mimic', 'double-team', 'focus-energy', 'bide', 'swift', 'skull-bash', 'rest', 'hyper-fang', 'super-fang', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/19.png"
"raticate","It uses its whis­ kers to maintain its balance.It apparently slows down if they are cut off.","55","81","60","50","70","97","normal","None","185","7","['tackle', 'body-slam', 'take-down', 'double-edge', 'tail-whip', 'water-gun', 'ice-beam', 'blizzard', 'bubble-beam', 'hyper-beam', 'thunderbolt', 'thunder', 'dig', 'toxic', 'quick-attack', 'rage', 'mimic', 'double-team', 'focus-energy', 'bide', 'swift', 'skull-bash', 'rest', 'hyper-fang', 'super-fang', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/20.png"
"spearow","Eats bugs in grassy areas. It has to flap itsshort wings at high speed to stay airborne.","40","60","30","31","31","70","normal","flying","20","3","['razor-wind', 'whirlwind', 'fly', 'fury-attack', 'take-down', 'double-edge', 'leer', 'growl', 'peck', 'drill-peck', 'toxic', 'agility', 'rage', 'mimic', 'double-team', 'bide', 'mirror-move', 'swift', 'sky-attack', 'rest', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/21.png"
"fearow","With its huge and magnificent wings, it can keep aloftwithout ever having to land for rest.","65","90","65","61","61","100","normal","flying","380","12","['razor-wind', 'whirlwind', 'fly', 'fury-attack', 'take-down', 'double-edge', 'leer', 'growl', 'hyper-beam', 'peck', 'drill-peck', 'toxic', 'agility', 'rage', 'mimic', 'double-team', 'bide', 'mirror-move', 'swift', 'sky-attack', 'rest', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/22.png"
"ekans","Moves silently and stealthily. Eats the eggs ofbirds, such as PIDGEY and SPEAROW, whole.","35","60","44","40","54","55","poison","None","69","20","['body-slam', 'wrap', 'take-down', 'double-edge', 'poison-sting', 'leer', 'bite', 'acid', 'strength', 'mega-drain', 'earthquake', 'fissure', 'dig', 'toxic', 'rage', 'mimic', 'screech', 'double-team', 'bide', 'skull-bash', 'glare', 'rest', 'rock-slide', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/23.png"
"arbok","It is rumored that the ferocious warning markingson its belly differ from area to area.","60","95","69","65","79","80","poison","None","650","35","['body-slam', 'wrap', 'take-down', 'double-edge', 'poison-sting', 'leer', 'bite', 'acid', 'hyper-beam', 'strength', 'mega-drain', 'earthquake', 'fissure', 'dig', 'toxic', 'rage', 'mimic', 'screech', 'double-team', 'bide', 'skull-bash', 'glare', 'rest', 'rock-slide', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/24.png"
"pikachu","When several of these POKéMON gather, theirelectricity could build and cause lightning storms.","35","55","40","50","50","90","electric","None","60","4","['mega-punch', 'pay-day', 'mega-kick', 'body-slam', 'take-down', 'double-edge', 'growl', 'surf', 'submission', 'seismic-toss', 'thunder-shock', 'thunderbolt', 'thunder-wave', 'thunder', 'toxic', 'agility', 'quick-attack', 'rage', 'mimic', 'double-team', 'reflect', 'bide', 'swift', 'skull-bash', 'flash', 'rest', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/25.png"
"raichu","Its long tail serves as a ground to protectitself from its own high voltage power.","60","90","55","90","80","110","electric","None","300","8","['mega-punch', 'pay-day', 'mega-kick', 'body-slam', 'take-down', 'double-edge', 'growl', 'hyper-beam', 'submission', 'seismic-toss', 'thunder-shock', 'thunderbolt', 'thunder-wave', 'thunder', 'toxic', 'rage', 'mimic', 'double-team', 'reflect', 'bide', 'swift', 'skull-bash', 'flash', 'rest', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/26.png"
"sandshrew","Burrows deep underground in arid locationsfar from water. It only emerges to hunt for food.","50","75","85","20","30","40","ground","None","120","6","['scratch', 'swords-dance', 'cut', 'sand-attack', 'body-slam', 'take-down', 'double-edge', 'poison-sting', 'submission', 'seismic-toss', 'strength', 'earthquake', 'fissure', 'dig', 'toxic', 'rage', 'mimic', 'double-team', 'bide', 'swift', 'skull-bash', 'fury-swipes', 'rest', 'rock-slide', 'slash', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/27.png"
"sandslash","Curls up into a spiny ball when threatened. Itcan roll while curled up to attack or escape.","75","100","110","45","55","65","ground","None","295","10","['scratch', 'swords-dance', 'cut', 'sand-attack', 'body-slam', 'take-down', 'double-edge', 'poison-sting', 'hyper-beam', 'submission', 'seismic-toss', 'strength', 'earthquake', 'fissure', 'dig', 'toxic', 'rage', 'mimic', 'double-team', 'bide', 'swift', 'skull-bash', 'fury-swipes', 'rest', 'rock-slide', 'slash', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/28.png"
"nidoran-f","Although small, its venomous barbs render thisPOKéMON dangerous. The female has smaller horns.","55","47","52","40","40","41","poison","None","70","4","['scratch', 'double-kick', 'tackle', 'body-slam', 'take-down', 'double-edge', 'tail-whip', 'poison-sting', 'bite', 'growl', 'blizzard', 'thunderbolt', 'thunder', 'toxic', 'rage', 'mimic', 'double-team', 'reflect', 'bide', 'skull-bash', 'fury-swipes', 'rest', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/29.png"
"nidorina","The female's horn develops slowly. Prefers physicalattacks such as clawing and biting.","70","62","67","55","55","56","poison","None","200","8","['scratch', 'double-kick', 'horn-drill', 'tackle', 'body-slam', 'take-down', 'double-edge', 'tail-whip', 'poison-sting', 'bite', 'growl', 'water-gun', 'ice-beam', 'blizzard', 'bubble-beam', 'thunderbolt', 'thunder', 'toxic', 'rage', 'mimic', 'double-team', 'reflect', 'bide', 'skull-bash', 'fury-swipes', 'rest', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/30.png"
"nidoqueen","Its hard scales provide strong protection. Ituses its hefty bulk to execute powerful moves.","90","92","87","75","85","76","poison","ground","600","13","['mega-punch', 'pay-day', 'scratch', 'mega-kick', 'horn-drill', 'tackle', 'body-slam', 'take-down', 'double-edge', 'tail-whip', 'poison-sting', 'water-gun', 'surf', 'ice-beam', 'blizzard', 'bubble-beam', 'hyper-beam', 'submission', 'counter', 'seismic-toss', 'strength', 'thunderbolt', 'thunder', 'earthquake', 'fissure', 'toxic', 'rage', 'mimic', 'double-team', 'reflect', 'bide', 'fire-blast', 'skull-bash', 'rest', 'rock-slide', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/31.png"
"nidoran-m","Stiffens its ears to sense danger. The larger itshorns, the more powerful its secreted venom.","46","57","40","40","40","50","poison","None","90","5","['double-kick', 'horn-attack', 'fury-attack', 'horn-drill', 'tackle', 'body-slam', 'take-down', 'double-edge', 'poison-sting', 'leer', 'blizzard', 'thunderbolt', 'thunder', 'toxic', 'rage', 'mimic', 'double-team', 'reflect', 'focus-energy', 'bide', 'skull-bash', 'rest', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/32.png"
"nidorino","신경질적이고 호전적이다. 체내의 아드레날린이 증가하면 독소의 농도도 높아진다.","61","72","57","55","55","65","poison","None","195","9","['double-kick', 'horn-attack', 'fury-attack', 'horn-drill', 'tackle', 'body-slam', 'take-down', 'double-edge', 'poison-sting', 'leer', 'water-gun', 'ice-beam', 'blizzard', 'bubble-beam', 'thunderbolt', 'thunder', 'toxic', 'rage', 'mimic', 'double-team', 'reflect', 'focus-energy', 'bide', 'skull-bash', 'rest', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/33.png"
"nidoking","It uses its powerful tail in battle to smash,constrict, then break the prey's bones.","81","102","77","85","75","85","poison","ground","620","14","['mega-punch', 'pay-day', 'mega-kick', 'horn-attack', 'horn-drill', 'tackle', 'body-slam', 'take-down', 'thrash', 'double-edge', 'poison-sting', 'water-gun', 'surf', 'ice-beam', 'blizzard', 'bubble-beam', 'hyper-beam', 'submission', 'counter', 'seismic-toss', 'strength', 'thunderbolt', 'thunder', 'earthquake', 'fissure', 'toxic', 'rage', 'mimic', 'double-team', 'reflect', 'bide', 'fire-blast', 'skull-bash', 'rest', 'rock-slide', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/34.png"
"clefairy","Its magical and cute appeal has many admirers.It is rare and found only in certain areas.","70","45","48","60","65","35","fairy","None","75","6","['pound', 'double-slap', 'mega-punch', 'mega-kick', 'body-slam', 'take-down', 'double-edge', 'growl', 'sing', 'water-gun', 'ice-beam', 'blizzard', 'bubble-beam', 'submission', 'counter', 'seismic-toss', 'strength', 'solar-beam', 'thunderbolt', 'thunder-wave', 'thunder', 'toxic', 'psychic', 'rage', 'teleport', 'mimic', 'double-team', 'minimize', 'defense-curl', 'light-screen', 'reflect', 'bide', 'metronome', 'fire-blast', 'skull-bash', 'flash', 'psywave', 'rest', 'tri-attack', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/35.png"
"clefable","A timid fairy POKéMON that is rarely seen. Itwill run and hide the moment it senses people.","95","70","73","95","90","60","fairy","None","400","13","['double-slap', 'mega-punch', 'mega-kick', 'body-slam', 'take-down', 'double-edge', 'sing', 'water-gun', 'ice-beam', 'blizzard', 'bubble-beam', 'hyper-beam', 'submission', 'counter', 'seismic-toss', 'strength', 'solar-beam', 'thunderbolt', 'thunder-wave', 'thunder', 'toxic', 'psychic', 'rage', 'teleport', 'mimic', 'double-team', 'minimize', 'reflect', 'bide', 'metronome', 'fire-blast', 'skull-bash', 'flash', 'psywave', 'rest', 'tri-attack', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/36.png"
"vulpix","At the time of birth, it has just one tail.The tail splits from its tip as it grows older.","38","41","40","50","65","65","fire","None","99","6","['body-slam', 'take-down', 'double-edge', 'tail-whip', 'roar', 'ember', 'flamethrower', 'fire-spin', 'dig', 'toxic', 'quick-attack', 'rage', 'mimic', 'double-team', 'confuse-ray', 'reflect', 'bide', 'fire-blast', 'swift', 'skull-bash', 'rest', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/37.png"
"ninetales","Very smart and very vengeful. Grabbing one ofits many tails could result in a 1000-year curse.","73","76","75","81","100","100","fire","None","199","11","['body-slam', 'take-down', 'double-edge', 'tail-whip', 'roar', 'ember', 'hyper-beam', 'dig', 'toxic', 'quick-attack', 'rage', 'mimic', 'double-team', 'reflect', 'bide', 'fire-blast', 'swift', 'skull-bash', 'rest', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/38.png"
"jigglypuff","When its huge eyes light up, it sings a mysteriouslysoothing melody that lulls its enemies to sleep.","115","45","20","45","25","20","normal","fairy","55","5","['pound', 'double-slap', 'mega-punch', 'mega-kick', 'body-slam', 'take-down', 'double-edge', 'sing', 'disable', 'water-gun', 'ice-beam', 'blizzard', 'bubble-beam', 'submission', 'counter', 'seismic-toss', 'strength', 'solar-beam', 'thunderbolt', 'thunder-wave', 'thunder', 'toxic', 'psychic', 'rage', 'teleport', 'mimic', 'double-team', 'defense-curl', 'reflect', 'bide', 'fire-blast', 'skull-bash', 'flash', 'psywave', 'rest', 'tri-attack', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/39.png"
"wigglytuff","The body is soft and rubbery. When angered, it willsuck in air and inflate itself to an enormous size.","140","70","45","85","50","45","normal","fairy","120","10","['double-slap', 'mega-punch', 'mega-kick', 'body-slam', 'take-down', 'double-edge', 'sing', 'disable', 'water-gun', 'ice-beam', 'blizzard', 'bubble-beam', 'hyper-beam', 'submission', 'counter', 'seismic-toss', 'strength', 'solar-beam', 'thunderbolt', 'thunder-wave', 'thunder', 'toxic', 'psychic', 'rage', 'teleport', 'mimic', 'double-team', 'defense-curl', 'reflect', 'bide', 'fire-blast', 'skull-bash', 'flash', 'psywave', 'rest', 'tri-attack', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/40.png"
"zubat","Dépourvu d’yeux, il se repère dans l’espace grâce aux ultrasons qu’il émet avec sa bouche.","40","45","35","30","40","55","poison","flying","75","8","['razor-wind', 'wing-attack', 'whirlwind', 'take-down', 'double-edge', 'bite', 'supersonic', 'mega-drain', 'toxic', 'rage', 'mimic', 'double-team', 'confuse-ray', 'haze', 'bide', 'swift', 'leech-life', 'rest', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/41.png"
"golbat","Once it strikes, it will not stop draining energyfrom the victim even if it gets too heavy to fly.","75","80","70","65","75","90","poison","flying","550","16","['razor-wind', 'wing-attack', 'whirlwind', 'take-down', 'double-edge', 'bite', 'supersonic', 'hyper-beam', 'mega-drain', 'toxic', 'rage', 'mimic', 'screech', 'double-team', 'confuse-ray', 'haze', 'bide', 'swift', 'leech-life', 'rest', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/42.png"
"oddish","During the day, it keeps its face buried in theground. At night, it wanders around sowing its seeds.","45","50","55","75","65","30","grass","poison","54","5","['swords-dance', 'cut', 'take-down', 'double-edge', 'acid', 'absorb', 'mega-drain', 'solar-beam', 'poison-powder', 'stun-spore', 'sleep-powder', 'petal-dance', 'toxic', 'rage', 'mimic', 'double-team', 'reflect', 'bide', 'rest', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/43.png"
"gloom","The fluid that oozes from its mouth isn't drool.It is a nectar that is used to attract prey.","60","65","70","85","75","40","grass","poison","86","8","['swords-dance', 'cut', 'take-down', 'double-edge', 'acid', 'absorb', 'mega-drain', 'solar-beam', 'poison-powder', 'stun-spore', 'sleep-powder', 'petal-dance', 'toxic', 'rage', 'mimic', 'double-team', 'reflect', 'bide', 'rest', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/44.png"
"vileplume","世界一　大きな　花びらは 歩くたびに　揺れて　大量の 毒花粉を　ばらまいてしまう。","75","80","85","110","90","50","grass","poison","186","12","['swords-dance', 'cut', 'body-slam', 'take-down', 'double-edge', 'acid', 'hyper-beam', 'mega-drain', 'solar-beam', 'poison-powder', 'stun-spore', 'sleep-powder', 'petal-dance', 'toxic', 'rage', 'mimic', 'double-team', 'reflect', 'bide', 'rest', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/45.png"
"paras","Burrows to suck tree roots. The mushrooms on itsback grow by draw­ ing nutrients from the bug host.","35","70","55","45","55","25","bug","grass","54","3","['scratch', 'swords-dance', 'cut', 'body-slam', 'take-down', 'double-edge', 'mega-drain', 'growth', 'solar-beam', 'stun-spore', 'dig', 'toxic', 'rage', 'mimic', 'double-team', 'reflect', 'bide', 'skull-bash', 'leech-life', 'spore', 'rest', 'slash', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/46.png"
"parasect","A host-parasite pair in which the parasite mushroomhas taken over the host bug. Prefers damp places.","60","95","80","60","80","30","bug","grass","295","10","['scratch', 'swords-dance', 'cut', 'body-slam', 'take-down', 'double-edge', 'hyper-beam', 'mega-drain', 'growth', 'solar-beam', 'stun-spore', 'dig', 'toxic', 'rage', 'mimic', 'double-team', 'reflect', 'bide', 'skull-bash', 'leech-life', 'spore', 'rest', 'slash', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/47.png"
"venonat","Lives in the shadows of tall trees where iteats insects. It is attracted by light at night.","60","55","50","40","55","45","bug","poison","300","10","['tackle', 'take-down', 'double-edge', 'disable', 'psybeam', 'mega-drain', 'solar-beam', 'poison-powder', 'stun-spore', 'sleep-powder', 'toxic', 'psychic', 'rage', 'mimic', 'double-team', 'reflect', 'bide', 'leech-life', 'psywave', 'rest', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/48.png"
"venomoth","The dust-like scales covering its wings arecolor coded to indicate the kinds of poison it has.","70","65","60","90","75","90","bug","poison","125","15","['razor-wind', 'whirlwind', 'tackle', 'take-down', 'double-edge', 'disable', 'psybeam', 'hyper-beam', 'mega-drain', 'solar-beam', 'poison-powder', 'stun-spore', 'sleep-powder', 'toxic', 'psychic', 'rage', 'teleport', 'mimic', 'double-team', 'reflect', 'bide', 'swift', 'leech-life', 'psywave', 'rest', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/49.png"
"diglett","Lives about one yard underground where it feeds onplant roots. It sometimes appears above ground.","10","55","25","35","45","95","ground","None","8","2","['scratch', 'sand-attack', 'body-slam', 'take-down', 'double-edge', 'growl', 'earthquake', 'fissure', 'dig', 'toxic', 'rage', 'mimic', 'double-team', 'bide', 'rest', 'rock-slide', 'slash', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/50.png"
"dugtrio","A team of DIGLETT triplets. It triggers hugeearthquakes by burrowing 60 miles underground.","35","100","50","50","70","120","ground","None","333","7","['scratch', 'sand-attack', 'body-slam', 'take-down', 'double-edge', 'growl', 'hyper-beam', 'earthquake', 'fissure', 'dig', 'toxic', 'rage', 'mimic', 'double-team', 'bide', 'rest', 'rock-slide', 'slash', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/51.png"
"meowth","Adores circular objects. Wanders the streets on anightly basis to look for dropped loose change.","40","45","35","40","40","90","normal","None","42","4","['pay-day', 'scratch', 'body-slam', 'take-down', 'double-edge', 'bite', 'growl', 'water-gun', 'bubble-beam', 'thunderbolt', 'thunder', 'toxic', 'rage', 'mimic', 'screech', 'double-team', 'bide', 'swift', 'skull-bash', 'fury-swipes', 'rest', 'slash', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/52.png"
"persian","Although its fur has many admirers, it is tough toraise as a pet because of its fickle meanness.","65","70","60","65","65","115","normal","None","320","10","['pay-day', 'scratch', 'body-slam', 'take-down', 'double-edge', 'bite', 'growl', 'water-gun', 'bubble-beam', 'hyper-beam', 'thunderbolt', 'thunder', 'toxic', 'rage', 'mimic', 'screech', 'double-team', 'bide', 'swift', 'skull-bash', 'fury-swipes', 'rest', 'slash', 'substitute']","https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/53.png"
